N, M, U, U_prime, b, S, Sporadic Count, Schedulability Percentage, Timeout Percentage, Time (Average), Time (Lower Bootstrap Average), Time (Upper Bootstrap Average), Time (Median), Time (First Quantile), Time (Third Quantile), Time (5 Percentile), Time (95 Percentile), Only Schedulable Time (Average), Only Schedulable Time (Lower Bootstrap Average), Only Schedulable Time (Upper Bootstrap Average), Only Schedulable Time (Median), Only Schedulable Time (First Quantile), Only Schedulable Time (Third Quantile), Only Schedulable Time (5 Percentile), Only Schedulable Time (95 Percentile), Time with timeouts (Average), Time with timeouts (Lower Bootstrap Average), Time with timeouts (Upper Bootstrap Average), Time with timeouts (Median), Time with timeouts (First Quantile), Time with timeouts (Third Quantile), Time with timeouts (5 Percentile), Time with timeouts (95 Percentile)
5, 1, 0, 0.5, 0.3, 1, 0, 92.0, 2.0, 38.99051020408163, 15.00075, 72.24454591836732, 3.04, 1.1925, 14.3625, 0.1785, 125.72499999999984, 41.11315217391304, 15.545095108695653, 76.77781521739129, 2.8899999999999997, 1.04, 15.5475, 0.1755, 131.45500000000007, 110.2107, 25.394362500000007, 225.94543999999996, 3.295, 1.2175, 15.599999999999998, 0.1795, 176.68249999999983
5, 1, 0, 0.5, 0.5, 1, 0, 81.0, 3.0, 20.470103092783503, 12.263659793814435, 30.166355670103087, 2.61, 0.87, 15.25, 0.15, 79.37799999999991, 23.054814814814815, 13.735441358024692, 34.45241975308641, 4.19, 1.03, 20.99, 0.21, 85.13, 127.85600000000001, 21.0037575, 269.655555, 3.12, 0.9225, 21.1625, 0.15, 215.0424999999999
5, 1, 0, 0.5, 0.7, 1, 0, 67.0, 0.0, 7.6336, 3.930275000000001, 12.2834075, 0.775, 0.3375, 5.1175, 0.0195, 34.54849999999998, 9.81358208955224, 4.99666417910448, 16.20230597014925, 1.39, 0.59, 7.045, 0.19, 38.68899999999997, 7.6336, 3.9789875000000006, 12.2518375, 0.775, 0.3375, 5.1175, 0.0195, 34.54849999999998
5, 1, 0, 0.7, 0.3, 1, 0, 86.0, 1.0, 131.3843434343434, 66.57403787878789, 218.11133333333336, 13.97, 1.57, 79.89500000000001, 0.149, 773.5889999999995, 146.22093023255815, 71.44991569767443, 247.17590406976743, 14.445, 1.7275, 80.8675, 0.18, 826.9475, 166.07049999999995, 78.19630500000004, 279.0193375, 14.09, 1.57, 83.95750000000001, 0.1495, 848.074
5, 1, 0, 0.7, 0.5, 1, 0, 61.0, 0.0, 77.4773, 30.5820875, 159.03792499999997, 6.925, 1.0625, 40.5175, 0.149, 255.0224999999999, 105.83049180327869, 31.503204918032793, 230.84818852459009, 7.85, 2.24, 59.59, 0.45, 324.14, 77.4773, 30.66980250000001, 155.96808999999996, 6.925, 1.0625, 40.5175, 0.149, 255.0224999999999
5, 1, 0, 0.7, 0.7, 1, 0, 48.0, 0.0, 13.0152, 5.277672500000001, 23.831924999999995, 0.895, 0.21500000000000002, 4.5, 0.0195, 46.603, 25.021041666666665, 9.397531250000004, 46.62146354166666, 2.34, 0.4775, 22.7675, 0.1805, 72.5465, 13.0152, 5.273865000000001, 23.588115000000002, 0.895, 0.21500000000000002, 4.5, 0.0195, 46.603
5, 1, 0, 0.9, 0.3, 1, 0, 69.0, 6.0, 152.50882978723405, 86.34476595744681, 234.30571542553187, 13.975, 3.71, 109.535, 0.17900000000000005, 789.3064999999996, 179.3836231884058, 92.75688768115941, 287.75573550724636, 27.9, 4.86, 116.63, 0.5880000000000001, 931.597999999999, 359.35830000000004, 197.42677000000006, 550.495455, 17.955, 3.8449999999999998, 134.245, 0.19700000000000004, 3600.0
5, 1, 0, 0.9, 0.5, 1, 0, 56.0, 3.0, 62.831752577319584, 36.06622422680413, 95.31409793814433, 8.54, 1.72, 34.3, 0.18800000000000006, 354.7739999999988, 57.25678571428572, 26.91901785714286, 95.37376785714287, 9.024999999999999, 2.19, 34.3575, 0.7374999999999999, 327.4425, 168.9468, 61.955147500000024, 304.66774499999997, 9.105, 1.7425, 35.510000000000005, 0.19700000000000004, 592.5714999999996
5, 1, 0, 0.9, 0.7, 1, 0, 35.0, 0.0, 17.412300000000002, 4.917062500000003, 39.78408499999999, 1.44, 0.29, 3.8825, 0.02, 43.75849999999998, 11.232571428571427, 4.183957142857143, 20.41089285714284, 2.31, 0.805, 3.9450000000000003, 0.25700000000000006, 52.69199999999991, 17.412300000000002, 4.932327500000001, 39.01934499999998, 1.44, 0.29, 3.8825, 0.02, 43.75849999999998
5, 2, 0, 0.5, 0.3, 1, 0, 64.0, 32.0, 484.09499999999997, 313.3200625, 674.7635955882353, 107.65, 17.314999999999998, 657.1175000000001, 1.1804999999999999, 2348.3059999999987, 498.8621875, 319.9497265625001, 697.3016874999997, 116.11500000000001, 19.134999999999998, 657.1175000000001, 1.2225000000000001, 2502.3939999999957, 1481.1845999999998, 1178.06605, 1797.5246174999997, 611.8900000000001, 49.745000000000005, 3600.0, 1.3425000000000002, 3600.0
5, 2, 0, 0.5, 0.5, 1, 0, 61.0, 30.0, 527.1624285714284, 323.2179678571428, 754.5862321428572, 73.85, 11.3475, 609.8774999999999, 0.35800000000000004, 2943.777, 577.2385245901638, 349.86814344262297, 837.5363073770491, 80.97, 22.91, 623.3, 2.44, 2955.09, 1449.0137, 1136.2286124999998, 1763.7405124999993, 415.54999999999995, 38.085, 3600.0, 0.5660000000000001, 3600.0
5, 2, 0, 0.5, 0.7, 1, 0, 51.0, 27.0, 359.5686301369863, 220.08647260273972, 522.4703527397261, 60.16, 10.19, 285.08, 0.406, 2188.0159999999987, 414.38745098039215, 235.31093627450983, 619.3425637254902, 67.56, 19.895, 414.66999999999996, 2.4699999999999998, 2205.6099999999997, 1234.4851, 938.7358975, 1541.2529949999998, 183.34, 20.1375, 3600.0, 2.0415000000000005, 3600.0
